examples,michael,,mohamed,,michelle,,sihan,,gpt4
input examples,label,borderline?,label,borderline?,label,borderline?,label,borderline?,label
"It irritated her greatly, and they used her frustration as further proof of her stubbornness.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"Michael didn't believe in fate, but the unknown variables made nearly anything possible. Maybe Sarah hadn’t even left town, maybe it was all an intricate ruse, perhaps orchestrated by Sarah herself for whatever inscrutable motive. Whatever it was, he couldn't just abandon it.",1,TRUE,1,TRUE,1,FALSE,0,FALSE,0
"but, not one made an effort to improve and the day dragged on uneventfully. hector was nearly asleep at the end, but his team had gotten through the shift without ambition. rego could hear idle chatter and TV noises as he approached the break room.",-1,FALSE,-1,FALSE,-1,FALSE,0,FALSE,-1
"Many volunteers have contributed to the community center, but they were mostly retired professionals.",0,FALSE,0,FALSE,1,FALSE,0,FALSE,0
Mia realized too late that she should have apologized to him.,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"As he stepped into the alley and reached for the bag, he felt a trip wire tug at his foot, and in an instant a cage snapped up around him, trapping him above the ground. Only once he was fully ensnared did he realize his error.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"miss may was a bright, motivated girl back then and her ambitious goals were many. but as soon as she turned into a teenager she grew apathetic and uninterested, becoming disengaged at the slightest challenge.",-1,FALSE,-1,FALSE,-1,TRUE,-1,FALSE,-1
That was her prototype they were handling and it was extremely crucial to her vision. She had no plan of letting it leave her sight for even a moment.,1,FALSE,1,FALSE,1,TRUE,1,FALSE,1
"knowing her motivation wouldn't fully materialize until she was simply too pressed to ignore it, she tapped out a series of idle movements on the table top, fidgeting and sighing as she tried to pass the time.",1,FALSE,-1,FALSE,-1,FALSE,-1,TRUE,-1
"minimal efforts for his simple tasks always satisfied him, and this was the easiest yet.",-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
"I turned to see Paxton and Teev, holding up their completed experiments and smiling at me with proud grins on their faces.",0,TRUE,1,TRUE,0,FALSE,0,FALSE,1
"Daniel had positioned himself comfortably next to Maria, and they were deeply engrossed in discussion.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"The student turned eager eyes upon the mentor and then glanced expectantly at the advisor, unsure what to make of this opportunity. The mentor laughed, ""Take it easy, lad, success must be by mutual effort, if you ever achieve it.""",1,FALSE,1,FALSE,1,TRUE,1,TRUE,1
"Years ago, she had discovered the fastest path to Dr. Mitchell’s office in the hospital.",1,TRUE,0,FALSE,0,FALSE,0,FALSE,0
i was just thinking about everything that i never tried to accomplish.,-1,FALSE,-1,FALSE,-1,FALSE,0,FALSE,-1
kate distractedly set down her report after jane left the room. both her apathy and boredom vied for dominance about what jane had to say.,-1,FALSE,-1,TRUE,0,FALSE,0,FALSE,-1
"I told her how I had met James, or rather he approached me and I let him. I told her that I hadn’t felt any romantic attraction towards James. However, I had felt a kind of fondness for him, like one would towards an old friend.",0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
