NNP,NNP,",",CD,NNS,JJ,",",MD,VB,DT,NN,IN,DT,JJ,NN,NNP,CD,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NNP,VBZ,NN,IN,NNP,NNP,",",DT,NNP,VBG,NN,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NNP,",",CD,NNS,JJ,CC,JJ,NN,IN,NNP,NNP,NNP,NNP,",",VBD,VBN,-NONE-,DT,JJ,NN,IN,DT,JJ,JJ,NN,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,IN,NN,RB,VBN,-NONE-,-NONE-,TO,VB,NNP,NN,NNS,VBZ,VBN,DT,JJ,NN,IN,NN,NNS,IN,DT,NN,IN,NNS,VBN,-NONE-,TO,PRP,RBR,IN,CD,NNS,IN,",",NNS,VBD,-NONE-,-NONE-,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,NN,",",NN,",",VBZ,RB,JJ,IN,PRP,VBZ,DT,NNS,",",IN,RB,JJ,NNS,TO,PRP,VBG,NNS,WDT,-NONE-,VBP,RP,NNS,JJ,",",NNS,VBD,-NONE-,-NONE-,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NNP,",",DT,NN,IN,JJ,JJ,NNP,NNP,WDT,-NONE-,VBZ,NNP,NNS,",",VBD,VBG,NN,IN,PRP$,NN,NN,NNS,IN,CD,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,JJ,NNS,VBD,VBN,-NONE-,RBR,IN,DT,NN,IN,",",DT,JJS,NNS,VBP,IN,NN,POS,NNP,NNP,NNP,IN,NNP,",",DT,NN,JJ,-NONE-,TO,VB,JJ,NN,TO,DT,NN,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NNP,NN,VBD,",",``,DT,VBZ,DT,JJ,NN,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRP,VBP,VBG,IN,NNS,IN,IN,NN,VBD,IN,NN,VBG,DT,JJ,NNS,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX,VBZ,DT,NN,IN,PRP$,NNS,RB,.,'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NNP,CC,DT,NNS,WP,-NONE-,VBD,DT,NNS,VBD,JJ,IN,DT,NN,IN,NNS,IN,DT,NNP,NNS,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
``,PRP,VBP,DT,JJ,NN,IN,IN,NNS,VBP,IN,NN,",",'',VBD,-NONE-,NNP,NNP,NNP,IN,NNP,POS,NNP,NNP,NNP,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NNP,VBD,DT,NN,IN,NNS,IN,DT,NNP,NNP,NNP,CC,DT,JJ,NNS,IN,NNP,NNP,CC,NNP,NNP,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NNP,NN,VBD,-NONE-,NN,VBD,VBN,-NONE-,IN,``,RB,JJ,NNS,'',IN,-NONE-,VBG,NN,IN,DT,NNS,IN,DT,JJ,CD,CC,VBN,-NONE-,IN,DT,JJ,NN,IN,NN,IN,CD,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,CD,TO,CD,",",CD,CD,NNP,NNS,IN,DT,NNS,VBD,VBN,-NONE-,",",DT,NN,VBD,-NONE-,-NONE-,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,CD,NNS,WP,-NONE-,VBD,RB,IN,DT,NN,",",CD,-NONE-,VBP,VBN,:,JJ,IN,CD,NNS,DT,VBN,NN,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD,IN,DT,CD,VBG,NNS,VBP,JJ,NNS,",",VBG,CD,IN,RB,VBN,NN,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,IN,CD,NNS,IN,JJ,NN,",",NN,NN,CC,NN,VBD,RB,JJR,IN,-NONE-,VBN,-NONE-,",",DT,NNS,VBD,-NONE-,-NONE-,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
``,DT,NN,NN,VBZ,DT,JJ,NN,IN,DT,IN,PRP,WP,-NONE-,VBP,JJ,NNS,",",'',VBD,-NONE-,NNP,NNP,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,IN,NN,NN,NNS,IN,DT,NNS,IN,DT,NNP,NNP,",",NNP,",",NN,NN,VBZ,-NONE-,TO,VB,DT,JJS,IN,DT,NN,NNS,VBN,-NONE-,IN,JJ,VBN,NNS,",",PRP,VBD,-NONE-,-NONE-,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
