input examples,GPT4 generation label
"Typing swiftly, John completed the final report with time to spare before the deadline.",0
She showed no hesitation in forwarding the critical email that contained the updated project plans.,0
"Our supervisor reminded us about the upcoming meeting, her voice calm. A curious Greg wanted to determine how much it would entail to upgrade the office’s internet speed.",0
"He felt relief after finishing the quarterly presentation. His colleague hadn't brought any donuts, unfortunately, but someone had left bagels in the break room. He jotted in his notebook: Bagels are underrated.",0
"She rummaged through the desk drawer with wrinkled yet agile hands, organizing the scattered papers neatly.",0
"Emily stood up, stretched her arms, and quietly exited the room with Michael trailing behind.",0
"She stepped down from the conference table, twirling a sleek pen. Her eyes gleamed with intensity as she moved to the projector and addressed the room in the hushed silence.",0
"He adjusted his glasses and took a sip of his coffee, but soon decided it was too bitter and discarded it.",0
"The senior managers swiftly reviewed the proposal, ensuring it was ready for the all-hands meeting. Jessica watched as the efficiency of her teammates evidenced their collective dedication.",0
"For all the times she had stayed late to ensure smooth operations, for all those meticulous reports she had compiled, she hadn't missed a deadline once.",0
"I sat down hard in front of the blank exam paper, put my face in my hands, and thought deeply.",0
She removed the second highlighter from her bag and marked the relevant text in the thick journal article.,0
"Michael didn't say anything as he stood and walked out of the library. He made his way through campus, avoiding the busy quadrangle. Lone students moved over the dimly lit pathways, engrossed in their notes and books.",0
"A minute or an hour later, the professor lifted a hand and signaled to the teaching assistants. They emerged from the back hall as quietly as they'd disappeared, collecting the submitted assignments. They gathered them in silence, sorted them in silence, and disappeared into the office.",0
The student looked like he couldn't believe he'd just presented that hypothesis in front of the entire class.,0
"He could not know how long he waited, clutching his pencil, desperate to answer the elusive question.",0
"Bart cursed himself for underestimating the complexity of the research project and wondered if it needed more qualitative data or statistical analysis. Either way he was stumped, but he preferred not to leave it unresolved.",0
"Do not worry, I'm not disappointed, but your advisor should definitely be informed about this.",0
"Rafe felt his stomach tense into an ever-tightening knot; he had no way to know what his advisor was thinking. She must be displeased, probably tired, and definitely expecting better results. The thought of her disappointment, and the knowledge that he was the cause of it, made him wince.",0
One of the students gasped and Blanche trembled as she stood beside the tall stack of academic papers.,0
It was so sudden; both players pulled away from the tackle and looked at each other with wide eyes.,0
"When he was a teenager, he joined a local soccer club, Aaron explained, pushing his hands into his pockets as he turned over his shoulder and stared at the field.",0
"The coaches didn't look at her, or at the assistant, but they walked close to the players, and they were quiet, and they observed.",0
"How could such a thought distract him when he'd only just joined the team? And yet as he tried to imagine returning to his individual training routine where no one pushed, encouraged, or competed with him, he wanted to shout at the solitude.",0
"She couldn't call the captain for directions because she didn't know his number. She had to do something, go somewhere; she couldn't stay lost in the stadium.",0
I paused and tried to blink back the sweat that was stinging my eyes. It happens every time I remember how I missed that crucial point.,0
"Conor was at his enthusiastic best, holding his hand out for Kim to shake. Claire was looking at Kim's face and caught a flicker of a frown cross her features before she flashed her teeth and shook the outstretched hand.",0
"She is hopeful that, following a night's rest, she will be better able to play her position effectively in the morning.",0
"It was to keep players from thinking of their previous defeats, but it only made Olivia think more about it. Coach Baraberi gave Olivia a pat on the back and sat down next to her. An assistant came over and began to re-tape Baraberi's ankle.",0
Malachi said they were both determined to improve their athletic prowess anyway.,0
He tried to think what investors salivated over large returns before committing funds. He hoped the slow movement of his hand toward the presentation deck was imperceptible.,0
